date,state,death,hospitalized,negative,positive,totalTestResults
3/6/2020,AK,0,0,0,0,8
3/7/2020,AK,0,0,0,0,12
3/8/2020,AK,0,0,0,0,14
3/9/2020,AK,0,1,0,0,23
3/10/2020,AK,0,1,0,0,23
3/11/2020,AK,0,1,0,0,46
3/12/2020,AK,0,1,0,0,46
3/13/2020,AK,0,1,0,0,60
3/14/2020,AK,0,1,0,0,144
3/15/2020,AK,0,1,0,0,144
3/16/2020,AK,0,1,0,0,144
3/17/2020,AK,0,1,0,3,337
3/18/2020,AK,0,1,0,8,412
3/19/2020,AK,0,1,0,11,438
3/20/2020,AK,0,1,0,14,698
3/21/2020,AK,0,1,0,15,772
3/22/2020,AK,0,1,0,25,968
3/23/2020,AK,0,1,0,38,968
3/24/2020,AK,0,2,0,42,1022
3/25/2020,AK,1,3,0,49,1691
3/26/2020,AK,1,4,0,63,1860
3/27/2020,AK,1,6,0,74,2388
3/28/2020,AK,2,10,0,91,2921
3/29/2020,AK,2,10,0,110,3334
3/30/2020,AK,3,10,0,118,3654
3/31/2020,AK,3,12,0,128,3713
4/1/2020,AK,3,15,0,141,4603
4/2/2020,AK,3,16,0,149,5022
4/3/2020,AK,3,17,0,160,6016
4/4/2020,AK,5,17,0,171,6040
4/5/2020,AK,6,21,0,185,6284
4/6/2020,AK,6,25,0,191,6883
4/7/2020,AK,6,26,0,213,6913
4/8/2020,AK,7,28,0,226,7068
4/9/2020,AK,7,30,0,235,7223
4/10/2020,AK,7,30,0,246,7432
4/11/2020,AK,8,32,0,257,7732
4/12/2020,AK,8,33,0,272,8038
4/13/2020,AK,8,33,0,277,7830
4/14/2020,AK,9,33,0,285,8348
4/15/2020,AK,9,33,0,293,8664
4/16/2020,AK,9,36,0,300,8735
4/17/2020,AK,9,37,0,309,9450
4/18/2020,AK,9,37,0,314,9655
4/19/2020,AK,9,37,0,319,9895
4/20/2020,AK,9,37,0,321,10124
4/21/2020,AK,9,37,0,329,11119
4/22/2020,AK,9,37,0,335,12159
4/23/2020,AK,9,37,0,337,12161
4/24/2020,AK,9,37,0,339,12281
4/25/2020,AK,9,37,0,339,15732
4/26/2020,AK,9,37,0,341,16177
4/27/2020,AK,9,37,0,345,16256
4/28/2020,AK,9,38,0,351,17089
4/29/2020,AK,9,38,0,355,19119
4/30/2020,AK,9,38,0,355,19119
5/1/2020,AK,9,39,0,364,20325
5/2/2020,AK,9,39,0,365,21399
5/3/2020,AK,9,39,0,368,21578
5/4/2020,AK,9,39,0,370,21723
5/5/2020,AK,9,40,0,371,22692
5/6/2020,AK,10,41,0,372,23655
5/7/2020,AK,10,41,0,374,24341
5/8/2020,AK,10,41,0,377,25473
5/9/2020,AK,10,41,0,378,26449
5/10/2020,AK,10,41,0,379,27364
5/11/2020,AK,10,41,0,381,28680
5/12/2020,AK,10,41,0,383,29961
5/13/2020,AK,10,41,0,384,30649
5/14/2020,AK,10,42,0,389,31762
5/15/2020,AK,10,43,0,390,32418
5/16/2020,AK,10,45,0,394,33281
5/17/2020,AK,10,46,0,398,34651
5/18/2020,AK,10,46,0,401,35611
5/19/2020,AK,10,46,0,401,36380
5/20/2020,AK,10,46,0,404,37045
5/21/2020,AK,10,47,0,404,39545
5/22/2020,AK,10,49,0,406,41446
5/23/2020,AK,10,49,0,410,42351
5/24/2020,AK,10,49,0,410,43507
5/25/2020,AK,10,49,0,411,44472
5/26/2020,AK,10,49,0,413,44964
5/27/2020,AK,10,49,0,414,46363
5/28/2020,AK,10,49,0,427,47970
5/29/2020,AK,10,50,0,432,49439
5/30/2020,AK,10,50,0,435,51695
5/31/2020,AK,10,50,0,463,51695
6/1/2020,AK,10,50,0,470,54190
6/2/2020,AK,10,51,0,490,56203
6/3/2020,AK,10,52,0,508,58182
6/4/2020,AK,10,52,0,518,60097
6/5/2020,AK,10,53,0,529,60990
